Metric,Value
design_powergrid__drop__worst__net:VPWR,0.000126864
design_powergrid__voltage__worst__net:VGND,0.000166288
design_powergrid__drop__worst__net:VGND,0.000166288
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0000073200000000000002193275942807826339731036568991839885711669921875
ir__drop__worst,0.0001269999999999999970058672804640309550450183451175689697265625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
